,ALL_Uniq,Name_USGSO,density_pop,evi,wind_power,wind_std,offshore_wind,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,res_area,consumption_label,gdp_cons_pop_urban_merged,cluster_label_mk_5,cluster_label_mk_6,cluster_label_mk_7,cluster_label_mk_8,cluster_label_mk_9,cluster_label_mk_10,cluster_label_mk_11,cluster_label_mk_12,cluster_label_mk_13,cluster_label_mk_14,cluster_label_mk_15,cluster_label_mk_16,cluster_label_mk_17,cluster_label_mk_18,cluster_label_mk_19,cluster_label_mk_20,cluster_label_mk_21,cluster_label_mk_22,cluster_label_mk_23,cluster_label_mk_24,cluster_label_mk_25,cluster_label_mk_26,cluster_label_mk_27,cluster_label_mk_28,cluster_label_mk_29,cluster_label_mk_30
29,88154,Île de Bai Luoi,1.1810081523654017,-1.045493285570725,-0.1690179636247257,-0.2103460407177348,1.7082884269003689,0.0,0.0,0.1395720573983705,0.4122150130402098,-0.175676919433205,-0.0626448253509286,M,1.430843217581956,0,5,5,5,4,5,6,4,1,0,6,12,11,5,6,13,18,5,7,20,22,8,5,16,2,28
30,88321,UNNAMED,-0.0676288940889554,0.5094296481006718,-1.3059936410065889,0.3372115216473622,0.0,0.0,0.0,0.1202575207901616,0.5604268976012309,-0.3623244602424821,0.2460095878328295,S,0.1487150660331913,0,4,3,7,8,7,10,11,2,8,2,1,1,0,1,19,20,3,17,12,16,7,17,4,20,22
31,88330,UNNAMED,0.2289418031355395,0.7534225824004515,-1.3155581492941322,0.4151301525719337,0.0,0.0,4.234260454696653,0.1155888685397654,0.6392273886128921,-0.3492264894141095,-0.2382712949455685,XS,-0.0486031654912305,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,15,11,22,3,3,6,24,25,26
32,88335,UNNAMED,0.274797168487673,0.1124514896164112,-1.2844119054908243,0.4727996557959621,0.0,0.0,0.0,0.1310738557514353,0.6454404282371232,-0.3691093554317053,-0.4250515280360009,XS,-0.1500522373585292,0,4,3,7,8,7,10,11,2,8,2,5,1,0,5,19,9,3,17,7,16,7,18,4,20,22
33,88339,UNNAMED,0.2231819731661297,-0.0448750496074334,-1.240896440456971,0.5289368701052525,0.0,0.0,0.0,0.1327832420948825,0.7858581980574736,-0.3499347287488255,-0.5386482828468011,XS,-0.1236795729726614,0,4,3,7,8,7,10,11,2,8,2,5,1,0,5,19,9,3,3,7,16,7,18,4,20,22
34,88340,UNNAMED,0.1691900160999427,0.5771105495661035,-1.2681459075296155,0.5214980947579936,0.0,0.0,4.490587566544471,0.1314731970566806,0.5507047495935685,-0.373007740899254,0.0813452430723467,XS,0.0226908449454282,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,9,11,22,3,3,6,24,25,26
35,88341,UNNAMED,0.1649916321026688,0.0664863626737116,-1.2618960394844,0.5402369379067751,0.0,0.0,0.0,0.1345832783016072,0.5479137128255203,-0.3595650969265483,-0.3576380479148514,XS,-0.1944647993111311,0,4,3,7,8,7,10,11,2,8,2,5,1,0,5,19,9,3,17,12,16,7,18,4,20,22
36,88342,UNNAMED,0.1032152276042631,0.0700010552881305,-1.2618960394844,0.5402369379067751,0.0,0.0,0.0,0.1338805277479031,0.4727233433297295,-0.3641012567431428,-0.2270331342630822,XS,-0.1813993180445474,0,4,3,7,8,7,10,11,2,8,2,5,1,0,5,19,9,3,17,12,16,7,18,4,20,22
37,88348,UNNAMED,0.5187208528874042,-0.2322997855038653,-0.9302636575652802,0.2876641060320114,0.0,0.0,0.0,0.1346973738777888,0.62534759863237,-0.339476410049178,-0.6383748453423184,XS,-0.175352607296714,0,4,3,7,8,7,10,11,2,8,2,5,1,0,5,3,9,3,17,17,21,7,18,4,20,22
38,88350,UNNAMED,0.1226214848314789,0.2654176418723296,-1.1397633712602122,0.5576692770799,0.0,0.0,0.0,0.1346973738777888,0.4302012064481513,-0.3559127455961274,-0.0617528946966309,XS,-0.168305027839959,0,4,3,7,8,7,10,11,2,8,2,1,1,0,5,19,9,3,17,12,16,7,18,4,20,22
39,88353,UNNAMED,0.1711665866289801,0.3710726233501491,-1.0702158781086253,0.4922682743220829,0.0,0.0,0.0,0.1346973738777888,0.538698094438495,-0.3506508518847011,0.0424749198508353,XS,-0.1496089763931691,0,4,3,7,8,7,10,11,2,8,2,1,1,0,5,19,20,3,17,12,16,7,18,4,20,22
40,88357,UNNAMED,0.2472149470419289,0.4515088037208852,-1.0455549858652529,0.5008689107866563,0.0,0.0,4.278768777615121,0.1346973738777888,0.442655832886216,-0.3665577882406967,0.1692228007136992,XS,-0.1110188067891947,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,15,11,22,3,3,6,24,25,26
41,88362,UNNAMED,0.2525175599209491,0.8095722758924292,-1.0702158781086253,0.4922682743220829,0.0,0.0,0.0,0.1346973738777888,0.8156036376439345,-0.3362114079622511,-0.5472347434236969,XS,-0.1371564042825906,0,4,3,7,8,7,10,11,0,9,2,1,1,3,5,19,20,3,17,17,0,14,18,23,20,22
42,88370,UNNAMED,0.0460986974536944,-0.0765356640551086,-1.018091051620713,0.5023439750365738,0.0,0.0,0.0,0.1346973738777888,0.6342477339753279,-0.3393245784746057,-0.4644977594434882,XS,-0.173655404370436,0,4,3,7,8,7,10,11,2,8,2,5,1,0,5,19,9,3,17,12,16,7,18,4,20,22
43,88377,UNNAMED,-0.0772795679252196,0.1233386919079484,-0.9162719913098818,0.2140350513420929,0.0,0.0,0.0,0.1175074438617332,0.844298687048872,-0.3210247395486411,-0.3721686939135186,XS,-0.152420536847563,0,4,3,7,8,7,10,11,2,8,2,5,1,3,5,19,20,3,17,12,16,7,18,4,20,22
