ALL_Uniq,Name_USGSO,density_pop,evi,wind_power,wind_std,offshore_wind,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,res_area,consumption_label,gdp_cons_pop_urban_merged
87884,Canchimalero,0.4657111070612902,-0.022850384790222385,-0.8447879719020136,-0.02748279787451021,0.0,0.0,4.237127562905131,-0.07681796445798758,-0.38146785989039345,-0.5606395886877519,0.1311283576317114,XS,0.15211941266899554
87889,Sanquiamba,-1.1605920836736403,-0.1165562419621399,-0.5016868464030528,0.26287705579012766,0.0,0.0,0.0,-0.04569846153861138,-0.6171146623489653,-0.43063164722688924,0.10061037869509012,XS,-0.15918514429846342
87891,Mulato,-0.7174257379404531,-0.10850755229072123,-0.5159544766532479,0.1486113034148553,0.0,0.0,0.0,-0.04809708960969783,-0.5755356806930965,-0.4312790008574544,-0.5842544372500676,XS,-0.16188900457982514
87949,Ilha São Domingos,-0.9810680631373435,1.0028899506960474,-1.2337880460803992,-0.0519950250297251,0.0,0.0,5.305747846389204,0.08386958862344192,0.4818262369167864,-0.19819273472768112,-0.41913602087426977,S,0.05999606678736956
87952,Ilha Buiuçu,0.015800010457638777,0.893984178582244,-1.2522509904511232,0.01919740910860897,0.0,0.0,4.970386461346431,0.08444498534567768,0.4815363731454391,-0.2009443950502309,1.0557587340369834,M,1.079595667427347
87954,Ilha Santarém,-0.23020763581579262,0.9750550729444748,-1.1015025389884125,0.3827423487131864,0.0,0.0,4.3453242575292705,0.08481537447295848,0.8342544681841572,-0.19255406658085475,-0.06276996745146898,XS,-0.06642866355692569
87955,Ilha Sirituba,-0.049622233606347335,1.0057523295073363,-0.7895858883645124,0.13154514241556067,0.0,0.0,5.053411105596616,0.07218851171126937,0.6747591239379896,-0.26123813658976214,0.6459380464010076,S,0.6736380566058215
87957,Ilha de Palhêta,-0.2941659374458735,0.8820519163298344,-0.8450857536398869,0.24597040763169323,0.0,0.0,5.0001763191695705,0.09340455318447524,0.7074171088431142,-0.18517985066225787,0.34366384264046396,S,0.17459769159981944
87961,Ilha do Comandaí,-1.441483089657161,0.40442929959959106,-1.1162319090726713,-0.18875471934306118,0.0,2.2584915409592883,5.215201813729331,0.07268571156575943,0.6631030868295711,-0.2665432823527579,1.2123369629845806,S,0.04632487664078363
87963,Ilha de Santana,-0.31617276224794943,0.8836660977956123,-0.7244645755899092,0.08108232545200353,0.0,0.0,5.053948408156493,0.07696959824772641,0.8420727382391069,-0.16664712041269375,0.6979740814603117,XS,-0.07131687821184997
87964,Ilha Grande de Taiaçuí,-1.3099530507986665,0.29846774073567783,-1.1836185619419763,0.006283734473862253,0.0,0.0,4.554261135689108,0.08894508732530704,0.40944739960721993,-0.21583942036168516,0.23376382781399338,XS,-0.14556800133877396
87965,Ilha dos Macacos,-0.9923896061028497,1.042771047595577,-1.2052085020096897,0.285916684940958,0.0,0.0,5.890392949801199,0.07844484638620329,0.3050510592105325,-0.16022277991917871,1.9692005134808652,M,0.818156713070085
87969,Ilha Tapuia,-1.0323287538793646,0.9486770631806035,-1.2119475280406171,0.21507574324897444,0.0,2.8175757467146583,5.394366576507457,0.07897670555902771,0.2523712466850491,-0.08147732920407995,-0.6050376664718757,S,-0.009552417996791195
87971,Ilha Ituquara,-1.055616420597429,0.7702773235908786,-1.2155429914201332,0.00939131107798071,0.0,0.0,5.5874692178558965,0.08406026207611883,0.28086939367965225,-0.09251789302909837,0.7801480617000875,S,0.1255319815497406
87972,Ilha Urutaí,-1.1341877816412131,0.5659146614754877,-1.2167181462809735,-0.014837573175986494,0.0,1.9822528168932403,5.556777230242298,0.09330778073099993,0.4253394004650996,-0.1283841091172231,-1.0670050247265703,S,0.15950671899948746
87974,Ilha Aranaí,-1.0544921740423043,0.6079684691980142,-1.1821579334487005,-0.030388961222120876,0.0,0.0,4.602101004631845,0.08332526876021622,0.278256959841424,-0.08614727480807641,0.8258922713711341,S,-0.03878641158338452
87975,Ilha Japichaua,-1.1026823832884007,1.0210440031739343,-1.170958533789923,0.17947377121055924,0.0,0.0,5.736413758054119,0.07914962174320882,0.15960020026951474,-0.058679970944920494,-0.18571643351449654,M,0.49710250779876963
87976,Ilha Santa Cruz,-0.9891890385847015,0.6249737698786865,-1.098052601726272,0.12681761181476114,0.0,0.0,5.6175785534943055,0.08826273013230726,0.1089787133122865,-0.003520345892685543,-0.645503192755108,S,-0.10060112740902381
87979,Ilha do Mututi,-1.061568876309846,0.8999480153609708,-1.1593601191074898,-0.04458926589730733,0.0,0.0,5.649056560313149,0.08592574252603873,0.214476682435939,-0.06380430462606874,1.0192879319343344,S,0.37377245604989845
87980,Ilha Capinal,-1.0125953072024665,0.6057027859096293,-1.0977298637544821,0.050619304273219916,0.0,0.0,5.083763692949948,0.08738230333191668,0.06171115514372778,-0.035490335816861104,-0.447444473132701,S,-0.03479800860582344
87981,Ilha Caldeirão,-1.0689551761262033,0.85368898827922,-1.08710737017191,-0.11749758952258643,0.0,0.0,5.057155400074639,0.0911398028494219,0.2796316168176618,-0.05242441641140375,-0.6453443334895559,S,-0.10918514988065675
87982,Ilha Grande de Gurupá,-1.4435056435080758,0.9531928517117042,-1.1786423545610698,0.03638470238601135,0.0,2.220199603632923,6.523974740165156,0.09104127632119688,0.33513760111378094,-0.13971806194404293,-1.0670050247265703,M,1.9275040229297478
87983,Ilha Acarapereira,-1.19369956060837,0.8803987169540305,-1.0448994190343648,0.19787059574706287,0.0,0.0,5.4200447411618,0.08715709817932739,-0.02505839364232128,-0.0030202201221474424,0.2258793095998765,S,0.3569917641743678
