ALL_Uniq,Name_USGSO,IslandArea,Popolazione,Densità_pop,evi,eolico,eolico_std,offshore,gdp_2019,consumption,geothermal_potential,hydro,temp,prec,hdd,cdd,solar_pow,solar_seas_ind,urban_area,urban_area_rel,superficie_res,ele_max,Densità_pop_etichetta,Solar_etichetta,Wind_class,consumption_etichetta,NO_res
87884,Canchimalero,22.8083031534,3654,160.2048155632,3225.9343924137756,15.702017726351968,0.515124516614127,0.0,5.063416481018066,255571.609375,0.0,211991.0,25.941528434539407,2.3644591935444623,0.0,1797.3128140767433,3.727749824523926,1.1789261102676392,0.28234835129507724,1.2376626962863477,52.013813497940994,55.0,M,M,1,XS,0
87889,Sanquiamba,46.5584215134,234,5.025943586439079,3072.2344829487697,36.86382394373759,0.5879909057865711,0.0,9.970328330993652,978660.25,0.0,0.0,26.234551747639955,6.057586478069425,0.0,1910.6751327514648,3.5742411613464355,1.2502228021621704,0.0,0.0,23.740433418854117,46.0,S,M,1,XS,0
87891,Mulato,31.1130060569,428,13.756304974751274,3085.4362497448346,35.68735012318914,0.5593156854467947,0.0,6.744634628295898,671916.0625,0.0,0.0,26.211966105892827,6.057586478069425,0.0,1910.6751327514648,3.6013271808624268,1.2498620748519897,0.0,0.0,5.781701247943007,32.0,S,M,1,XS,0
87949,Ilha São Domingos,198.919615701,1524,7.661386206832184,4908.392687519075,4.45454044518996,0.5089731239169871,0.0,30.611839294433594,5292873.0,0.0,4673456.0,27.45457314158142,2.4693865024244355,0.0,2359.129318714142,4.290130138397217,1.383556842803955,0.0,0.0,1.498010984225424,40.0,S,M,1,S,0
87952,Ilha Buiuçu,148.985679889,9526,63.9390309665817,4729.761299692395,4.138565557959819,0.5268390084274849,0.0,133.0867462158203,21172306.0,0.0,1770390.0,27.459991115458877,2.465288743619264,0.0,2360.662072499592,4.289941310882568,1.3819330930709839,0.44608602335438347,0.3005542951413051,61.32052248248465,40.0,M,M,1,M,0
87954,Ilha Santarém,43.0653553634,1658,38.499624257346454,4862.736862797924,7.206286548574157,0.6180713420871364,0.0,7.745164394378662,1339160.5,0.0,289953.0,27.463478724161803,2.7871482097543776,0.0,2361.729965209961,4.51971435546875,1.3868876695632935,0.0,0.0,17.433926714231553,54.0,S,L,1,XS,0
87955,Ilha Sirituba,217.025451953,12131,55.8966696801403,4913.087670067951,18.227029852096738,0.5550328980250512,0.0,35.04350280761719,6059119.0,0.0,2251313.0,27.344583343021498,2.5590691602235465,0.0,2315.736848471808,4.415813446044922,1.3466302156448364,0.0,0.0,17.302066132439524,74.0,M,M,1,S,0
87957,Ilha de Palhêta,117.67902839,3967,33.71033950801299,4710.189549502401,15.689162095229339,0.5837481484330117,0.0,21.932418823242188,3784853.0,0.0,1929819.0,27.544355003239332,2.6896240126474624,0.0,2390.167952401284,4.4370880126953125,1.391250729560852,0.03564599797870938,0.030438213090966344,16.346995374952776,42.0,S,M,1,S,0
87961,Ilha do Comandaí,256.640580258,620,2.4158299493272493,3926.7747751708976,6.853757190066145,0.4746530036139589,0.0,37.988189697265625,6568263.5,48.0,3595973.0,27.349265009981707,2.040583652478677,0.0,2316.270450827526,4.408220291137695,1.343549132347107,0.0,0.0,49.85959682656454,41.0,S,M,1,S,0
87963,Ilha de Santana,47.7322268776,1537,32.20046707523907,4712.837191310906,21.592071273111028,0.5423691526305129,0.0,8.236921310424805,1424186.625,0.0,2254817.0,27.389602372430886,3.1236123078001237,0.0,2327.905817472019,4.524807453155518,1.402251124382019,0.0,0.0,88.14347729729894,35.0,S,L,1,XS,0
87964,Ilha Grande de Taiaçuí,58.1613350814,201,3.4559041624249067,3752.9725978504907,5.392930812268795,0.5235982958093122,0.0,10.449825286865234,1806803.875,0.0,530853.0,27.502364375558102,2.017893258704465,0.0,2375.4354154413386,4.242980003356934,1.3731627464294434,0.0,0.0,25.807363138961172,69.0,S,M,1,XS,0
87965,Ilha dos Macacos,886.213964026,6616,7.4654657549561,4973.807178862737,4.974365307579066,0.5937727470532091,0.0,126.91160583496094,21943374.0,0.0,25384677.0,27.403493407204223,2.5216401724125745,0.0,2339.535613024185,4.1749725341796875,1.406076192855835,0.0,0.0,72.95062941714578,44.0,S,M,1,M,0
87969,Ilha Tapuia,155.5285613,1059,6.809038745991409,4819.470648337756,4.848339580038677,0.5759950702789521,0.0,23.727249145507812,4102507.75,121.0,6040003.0,27.408501428615352,2.5690397460206924,0.0,2341.379451892983,4.140655040740967,1.4534592628479004,0.0,0.0,1.0786139512099573,51.0,S,M,1,S,0
87971,Ilha Ituquara,270.230772931,1743,6.450042610228751,4526.85261301884,4.781982922961694,0.5243781484072557,0.0,39.70933532714844,6865855.0,0.0,10562789.0,27.45636853551713,2.5957010173973774,0.0,2359.120935738805,4.159219741821289,1.4467600584030151,0.0,0.0,18.621218898496572,68.0,S,M,1,S,0
87972,Ilha Urutaí,308.61288495,1653,5.356224838984967,4191.649205108746,4.760426700918923,0.5182978611809687,0.0,46.71686553955078,8077476.5,30.0,9664891.0,27.543443787369085,2.2573762570927833,0.0,2391.5377800885362,4.253332614898682,1.4251230955123901,0.0,0.0,0.0,66.0,S,M,1,S,1
87974,Ilha Aranaí,126.643185614,819,6.46698830283895,4260.627459346926,5.4220792949662755,0.5143952090779333,0.0,21.391407012939453,3698634.0,0.0,609694.0,27.449447789479166,2.598777272942243,0.0,2356.1996665954644,4.157517910003662,1.4506233930587769,0.0,0.0,43.88510215210476,105.0,S,M,1,S,0
87975,Ilha Japichaua,629.71039367,3636,5.7740828745244555,4938.169654578402,5.649153145929063,0.5670606838025976,0.0,89.49967956542969,15474744.0,0.0,16255888.0,27.41012961892767,2.6965805430107483,0.0,2341.6699554368242,4.080220699310303,1.4673503637313843,0.0,0.0,0.880755351450247,47.0,S,M,1,M,0
87976,Ilha Santa Cruz,82.4424433605,620,7.5203981678332426,4288.520200034942,7.2906711030766465,0.5538465147140155,0.0,13.277424812316895,2295703.75,0.0,11524652.0,27.495939254760742,2.8252195306122303,0.0,2373.0495071411133,4.047244071960449,1.5012869834899902,0.0,0.0,1.7663716547545745,31.0,S,M,1,S,0
87979,Ilha do Mututi,501.339388585,3189,6.36096040448918,4739.543411511432,5.891091696428702,0.5108316140637806,0.0,69.95236206054688,12094958.0,0.0,12624016.0,27.473934023737684,2.8268621937253977,0.0,2365.4134015170143,4.115969181060791,1.4642211198806763,0.0,0.0,16.84478575347855,87.0,S,M,1,S,0
87980,Ilha Capinal,134.844046333,961,7.126751429772375,4256.91119948003,7.298600812094902,0.534724396206488,0.0,20.530834197998047,3549838.25,0.0,2458051.0,27.487649097342057,2.857800396413288,0.0,2370.065360329366,4.016452312469482,1.4815611839294434,0.0,0.0,2.0369808464857564,38.0,S,M,1,S,0
87981,Ilha Caldeirão,81.8951122322,512,6.251899363032911,4663.66759660522,7.563028030448159,0.4925351236359888,0.0,13.031546592712402,2253190.75,0.0,2275845.0,27.523029963175475,2.649740122258663,0.0,2382.9071502685547,4.158413410186768,1.4711757898330688,0.0,0.0,1.7791928500038423,56.0,S,M,1,S,0
87982,Ilha Grande de Gurupá,3644.20345767,8753,2.4018966288990953,4826.877616368793,5.492675855930128,0.5311521942380089,0.0,477.1787109375,82459984.0,45.0,158862491.0,27.522102230820508,2.1929868525405682,0.0,2382.051358898677,4.1945719718933105,1.4183255434036255,0.0,0.0,0.0,95.0,S,M,1,M,1
87983,Ilha Acarapereira,514.888231972,2387,4.635957576380979,4707.477909034479,8.681666079359246,0.5716774039148839,0.0,75.36167907714844,13030244.0,0.0,6506031.0,27.485528550618994,2.7880104926694758,0.0,2369.0249857054214,3.959927558898926,1.5015968084335327,0.0,0.0,2.863346868648167,33.0,S,M,1,S,0
87984,Ilha Porquinhos,60.936592768,639,10.486309965390154,3756.4672623722095,11.150339492597894,0.4903265111862375,0.0,10.695703506469727,1849316.875,0.0,1257051.0,27.506532931660047,2.642649656294712,0.0,2377.5800083705335,4.166640281677246,1.459999918937683,0.0,0.0,95.90691520207834,80.0,S,M,1,XS,0
87986,Ilha Maracujá,139.204107019,910,6.537163446447697,4466.709953509776,8.141001056218984,0.5036717781750983,0.0,23.1125545501709,3996225.25,0.0,2680557.0,27.56127945609029,2.7190006507283195,0.0,2396.257281364274,4.0936994552612305,1.4728307723999023,0.0,0.0,31.611850800031853,34.0,S,M,1,S,0
87987,Ilha Vieira,178.564444523,956,5.353809391078762,4475.762981835391,7.877198131076601,0.516943666182058,0.0,28.398937225341797,4910255.5,0.0,5319071.0,27.564736073135577,2.8543131062083624,0.0,2399.3873457998648,4.107669353485107,1.4813214540481567,0.0,0.0,13.157897882252382,33.0,S,M,1,S,0
87988,Ilha Rasa,33.5043693056,250,7.4617133580310195,4386.799220185842,12.504889751516357,0.502913377383482,0.0,6.146955966949463,1062825.875,0.0,1168582.0,27.506760279337584,2.6419032914564013,0.0,2377.019256591797,4.08368444442749,1.493937611579895,0.0,0.0,62.5127886236975,53.0,S,M,1,XS,0
87989,Ilha Charapucu,1232.52629975,3905,3.1682893913031087,4869.756438138945,16.42947406029014,0.527781566740408,0.0,166.58251953125,28802582.0,0.0,21776424.0,27.441905105307796,2.983806705920724,0.0,2354.5697918319665,3.933619499206543,1.512636423110962,0.0,0.0,2.293151697455614,38.0,S,M,1,M,0
